time,open,high,low,close,tick_volume,spread,real_volume
1655985600,101500.0,101535.0,101035.0,101035.0,337574,5,1050108
1655987400,101035.0,101105.0,100430.0,100580.0,318159,5,1036130
1655989200,100580.0,100680.0,100360.0,100375.0,245589,5,779993
1655991000,100375.0,100415.0,99955.0,100045.0,263962,5,892441
1655992800,100050.0,100230.0,99770.0,100040.0,262325,5,888528
1655994600,100040.0,100120.0,99565.0,99795.0,280306,5,962643
1655996400,99795.0,99890.0,99520.0,99820.0,224387,5,734345
1655998200,99820.0,99965.0,99585.0,99715.0,183680,5,636480
1656000000,99715.0,99760.0,99435.0,99720.0,210495,5,728687
1656001800,99715.0,100070.0,99705.0,99965.0,220536,5,800928
1656003600,99960.0,99965.0,99520.0,99750.0,142453,5,469379
1656005400,99750.0,99840.0,99200.0,99200.0,102868,5,340815
1656061200,100000.0,100835.0,99985.0,100780.0,356487,5,942756
1656063000,100780.0,101015.0,100650.0,100855.0,264143,5,827039
1656064800,100850.0,100910.0,99875.0,99885.0,491114,5,1616819
1656066600,99885.0,100235.0,99560.0,100140.0,545312,5,1736294
1656068400,100145.0,101040.0,100140.0,100795.0,526993,5,1676381
1656070200,100795.0,100985.0,100440.0,100505.0,366470,5,1169061
1656072000,100505.0,100670.0,100055.0,100445.0,280374,5,929656
1656073800,100440.0,100475.0,99885.0,99935.0,229601,5,693729
1656075600,99940.0,100320.0,99920.0,100190.0,166075,5,516040
1656077400,100190.0,100400.0,100050.0,100385.0,180728,5,564284
1656079200,100385.0,100515.0,100200.0,100350.0,192470,5,617686
1656081000,100355.0,100415.0,100060.0,100095.0,197425,5,627246
1656082800,100095.0,100545.0,100040.0,100500.0,246948,5,820597
1656084600,100495.0,100570.0,99995.0,100140.0,227256,5,754863
1656086400,100135.0,100345.0,100080.0,100330.0,168052,5,562777
1656088200,100330.0,100575.0,100175.0,100515.0,177649,5,607325
1656090000,100515.0,100560.0,100220.0,100320.0,128131,5,380896
1656091800,100315.0,100655.0,100280.0,100600.0,92452,5,263191
1656320400,101100.0,101290.0,100780.0,100925.0,356233,5,879047
1656322200,100925.0,101000.0,100720.0,100740.0,235498,5,677230
1656324000,100735.0,101860.0,100675.0,101325.0,732327,5,2083935
1656325800,101330.0,102125.0,101255.0,102045.0,651970,5,1839516
1656327600,102045.0,102415.0,102035.0,102150.0,432973,5,1327777
1656329400,102145.0,102740.0,102140.0,102725.0,385172,5,1211226
1656331200,102725.0,102795.0,102455.0,102490.0,238592,5,759007
1656333000,102495.0,102570.0,102185.0,102240.0,192292,5,637907
1656334800,102245.0,102525.0,102205.0,102510.0,197457,5,654545
1656336600,102510.0,102620.0,102355.0,102500.0,184593,5,607159
1656338400,102495.0,102535.0,102300.0,102390.0,171415,5,580476
1656340200,102395.0,102525.0,102300.0,102435.0,179860,5,596564
1656342000,102440.0,102495.0,102265.0,102345.0,190228,5,663170
1656343800,102345.0,102435.0,102255.0,102335.0,168440,5,571254
1656345600,102335.0,102615.0,102220.0,102485.0,232661,5,844935
1656347400,102485.0,102665.0,102340.0,102535.0,205674,5,742817
1656349200,102535.0,102650.0,102430.0,102485.0,124443,5,420029
1656351000,102485.0,102945.0,102475.0,102945.0,99287,5,313043
1656406800,103410.0,103850.0,103225.0,103270.0,372869,5,1044501
1656408600,103270.0,103735.0,103040.0,103345.0,459286,5,1392831
1656410400,103345.0,103840.0,103185.0,103535.0,608778,5,1731305
1656412200,103540.0,103895.0,103250.0,103695.0,634914,5,1830929
1656414000,103695.0,103845.0,103190.0,103260.0,420554,5,1230357
1656415800,103260.0,103285.0,102610.0,103025.0,455514,5,1479333
1656417600,103020.0,103160.0,102440.0,102455.0,322290,5,1010504
1656419400,102455.0,102615.0,102185.0,102190.0,296429,5,968940
1656421200,102190.0,102445.0,102100.0,102430.0,232097,5,748061
1656423000,102425.0,102470.0,102130.0,102255.0,205317,5,706514
1656424800,102260.0,102295.0,101725.0,101960.0,292108,5,1002238
1656426600,101960.0,102010.0,101775.0,101900.0,196753,5,631950
1656428400,101900.0,102055.0,101590.0,101965.0,245502,5,822370
1656430200,101965.0,101990.0,101470.0,101905.0,256435,5,888063
1656432000,101900.0,102135.0,101715.0,102105.0,224145,5,742699
1656433800,102105.0,102170.0,101890.0,102010.0,208524,5,688206
1656435600,102010.0,102285.0,102005.0,102190.0,125575,5,401986
1656437400,102195.0,102290.0,102005.0,102110.0,74524,5,220993
1656493200,102120.0,103015.0,102030.0,102870.0,450396,5,1207478
1656495000,102865.0,103190.0,102350.0,102420.0,450848,5,1336767
1656496800,102420.0,102825.0,102285.0,102390.0,594243,5,1784913
1656498600,102385.0,102510.0,101725.0,102150.0,716681,5,2194078
1656500400,102155.0,102305.0,101540.0,101815.0,548760,5,1759511
1656502200,101815.0,102065.0,101370.0,101420.0,451986,5,1430957
1656504000,101425.0,101480.0,100975.0,101150.0,329312,5,1105074
1656505800,101145.0,101375.0,101050.0,101155.0,238429,5,755714
1656507600,101150.0,101195.0,100770.0,100830.0,250211,5,861250
1656509400,100830.0,101000.0,100740.0,100960.0,211893,5,711779
1656511200,100965.0,101040.0,100665.0,100955.0,216930,5,769919
1656513000,100950.0,101300.0,100870.0,101290.0,206469,5,737513
1656514800,101285.0,101520.0,101200.0,101290.0,258036,5,946508
1656516600,101290.0,101310.0,101040.0,101135.0,202721,5,716616
1656518400,101130.0,101350.0,100955.0,101345.0,214344,5,765795
1656520200,101345.0,101355.0,100820.0,101000.0,213683,5,759024
1656522000,100995.0,101105.0,100830.0,100990.0,134298,5,444909
1656523800,100985.0,101155.0,100825.0,101150.0,83578,5,274189
1656579600,100075.0,100335.0,99370.0,99505.0,573823,5,1366980
1656581400,99510.0,99795.0,99215.0,99230.0,467415,5,1190870
1656583200,99230.0,99805.0,99075.0,99695.0,569343,5,1571959
1656585000,99690.0,99845.0,99250.0,99715.0,707823,5,1887927
1656586800,99710.0,99880.0,99225.0,99335.0,544465,5,1583003
1656588600,99330.0,99865.0,99125.0,99765.0,454372,5,1321100
1656590400,99765.0,100275.0,99635.0,100115.0,420211,5,1327860
1656592200,100110.0,100255.0,99810.0,100255.0,284186,5,858247
